window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,49.229.230.148,10,5,1,1,1,1040,492,12539.1638151350,-412.1949773938,-415.3206994821,0.007774749770760536,0.35317462682724,7627
W1,49.229.230.203,11,5,1,2,2,729,459,9566.3919166190,-210.7634647392,-233.2841921037,0.03581079840660095,0.4666663110256195,7628
W1,49.229.230.23,7,5,0,3,3,312,283,12394.8760795246,7.9016474800,7.9016474800,0.01156069990247488,0.15714627504348755,7629
W1,49.229.230.25,11,5,1,3,3,527,371,41701.0475592114,920.9638109009,920.9638109009,0.018410300835967064,0.3571970462799072,7630
W1,49.229.230.252,10,5,1,2,2,648,216,6841.8004554619,998.6507909863,998.6507909863,0.017011649906635284,0.8940006494522095,7631
W1,49.229.230.65,12,5,1,3,3,446,327,13473.9641614708,-135.2208935451,-135.2208935451,0.017594149336218834,0.8117390871047974,7632
W1,49.229.231.107,12,5,1,2,2,1041,863,62447.7223820735,346.2869035345,346.2869035345,0.0220294501632452,0.22598791122436523,7633
W1,49.229.231.119,8,5,1,1,1,1058,789,20472.4041260890,-593.1720846852,-594.2514050480,0.028295649215579033,0.7870966196060181,7634
W1,49.229.231.137,11,5,2,2,2,391,240,6294.6125874141,-800.0859375242,-801.4267379166,0.01063110027462244,0.03546551987528801,7635
W1,49.229.231.140,12,5,2,2,2,514,303,16078.9271319348,-397.4792254533,-397.4792254533,0.008461750112473965,0.8879998326301575,7636
W1,49.229.231.147,14,5,1,4,4,371,300,17811.8617141471,1625.0613196558,1625.0613196558,0.00589274987578392,0.18946793675422668,7637
W1,49.229.231.157,8,5,0,2,2,344,161,8931.1766753715,158.7021657377,158.7021657377,0.020859550684690475,0.7283017039299011,7638
W1,49.229.231.184,6,5,1,1,1,483,207,11256.9733666346,-305.2918852661,-305.4580568799,0.19055086374282837,0.8885296583175659,7639
W1,49.229.231.235,8,5,1,0,0,546,277,7847.7530478044,-643.8136572219,-661.2502006411,0.01956225000321865,0.2706526815891266,7640
W1,49.229.231.56,10,5,1,2,2,2812,2640,29874.0692170493,-2413.0023183218,-2413.0023183218,0.029826100915670395,0.6418918967247009,7641
W1,49.229.231.92,11,5,1,2,2,978,552,32010.9624366080,-2322.8395935170,-2322.8395935170,0.03386339917778969,0.7528167963027954,7642
W1,49.229.234.98,7,5,3,4,4,433,326,32385.2093769082,945.4503003578,945.4503003578,0.15036499500274658,0.9452379941940308,7643
W1,49.230.116.53,6,5,3,2,2,293,286,24211.9218828939,1043.8855999905,1004.0044126952,0.045734699815511703,0.2220243364572525,7644
W1,49.230.116.55,7,5,1,4,4,729,661,24746.1897625683,867.2872823585,867.2872823585,0.09217879921197891,0.9333332777023315,7645
W1,49.230.117.82,11,5,1,3,3,380,302,12742.7042882640,-500.9219283975,-528.7565138446,0.1599999964237213,1.0,7646
W1,49.230.119.30,6,5,1,1,1,825,464,24845.6022854655,-3297.7041334874,-3297.7041334874,0.022725950926542282,0.07219623774290085,7647
W1,49.230.119.8,13,5,1,4,4,468,312,17404.1284001768,518.5557976675,518.5557976675,0.037297699600458145,0.35536500811576843,7648
