dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
1940,37958481.80944293,34385,18724,7,-221288.8522117544,18724,0.1370989743451856,0.0949049,1195660.0984674348,305146.4468250765,101.0,0.03149915490481999,0.002937327322960593,0.008038952884284356,61.12040133779264,63.12709030100335,-2.0066889632107063
1325,94870072.80133824,67253,23179,4,-2815240.747853262,23179,0.1323078762332163,0.1576858,4473680.24149499,939567.5269723858,172.0,0.04715586390307781,0.002557506728324387,0.009903729376701103,77.50836120401337,79.59866220735786,-2.090301003344493
2154,3026669.353138048,5040,1567,6,117064.3102093346,1567,0.105835617987786,0.1359285,5839.8088839203,1146.6127916027,4.0,0.0019294505618413823,0.0007936507936507937,0.0003788364891638702,37.41638795986622,39.54849498327759,-2.132107023411372
1994,92726153.49564289,63438,23920,4,-2673124.453586288,23920,0.1327164926429401,0.1494983,4856427.83213982,1169536.9517626392,149.0,0.05237387348724671,0.0023487499605914434,0.012612805639755073,78.09364548494983,80.2675585284281,-2.173913043478265
2221,1609309.9218011752,2757,887,7,78594.423699223,887,0.1301762473867271,0.1589628,0.0,0.0,0.0,0.0,0.0,0.0,23.913043478260867,26.12876254180602,-2.2157190635451514
2187,2834838.702396114,4992,1431,6,-28103.4297108321,1431,0.069970259215097,0.1243885,27921.9066045192,0.0,1.0,0.009849557430170026,0.00020032051282051281,0.0,29.18060200668896,31.396321070234116,-2.215719063545155
2250,50518460.47127752,40241,25161,6,-241410.8421462795,25161,0.0661653424901502,0.0631135,1979640.4298043821,350335.473355308,80.0,0.03918647582164375,0.001988022166447156,0.006934801062563905,48.49498327759198,50.83612040133779,-2.34113712374581
576,3708000.8000764414,5061,1777,6,-134914.1916061483,1777,0.0722725856719926,0.1688239,5309.5019722058,0.0,3.0,0.0014319042142861304,0.0005927682276229994,0.0,34.030100334448164,36.58026755852842,-2.550167224080255
2122,3736857.8132330417,6672,1818,7,-175237.8660023025,1818,0.0708879261530752,0.1045105,46261.447426685205,3135.0620331285,5.0,0.012379771920372021,0.000749400479616307,0.0008389567357972654,36.20401337792642,38.795986622073585,-2.5919732441471623
1964,3087160.9741497454,5056,1647,5,-166454.7618843745,1647,0.1238724790539472,0.1426837,34905.7534032248,0.0,6.0,0.011306748723343918,0.0011867088607594937,0.0,39.297658862876254,42.34949832775919,-3.0518394648829386
1158,968851.404171856,1919,566,2,-96748.9260561926,566,0.1358303043692281,0.2014134,0.0,0.0,0.0,0.0,0.0,0.0,25.585284280936452,29.0551839464883,-3.4698996655518464
2101,95741993.48224786,60676,25368,4,-2253834.2137771295,25368,0.1321997286988949,0.1329234,8420022.602336254,1033351.2306731176,156.0,0.08794492673580548,0.00257103302788582,0.010793082461404126,77.17391304347827,80.68561872909699,-3.511705685618722
1150,3659487.6783803054,6051,1858,7,-216778.4837126704,1858,0.0643255688680295,0.1501615,13408.662152406,0.0,4.0,0.003664081787082473,0.0006610477607007106,0.0,33.27759197324415,36.831103678929765,-3.553511705685615
2142,84908987.49253054,60832,21320,5,-1782318.4785308733,21320,0.1324424438569763,0.2017824,3640809.6790202195,782586.860617321,141.0,0.04287896707448669,0.002317859021567596,0.009216772967480802,73.24414715719064,76.83946488294315,-3.5953177257525084
2171,84146601.00208487,58883,19664,4,-461638.3363546689,19664,0.1324038702237213,0.1665989,4200694.187162763,694587.984197915,142.0,0.04992113926335164,0.002411561910908072,0.008254498410229374,71.57190635451505,75.4180602006689,-3.846153846153854
2177,93770123.51304288,64869,22288,4,-2003364.9794653407,22288,0.1327079607537772,0.13514,5790510.15589973,1199060.4753231443,162.0,0.06175218650633752,0.002497340794524349,0.012787233613447913,77.4247491638796,81.438127090301,-4.0133779264213985
2103,96311906.00567745,64966,23188,4,-3082085.406725327,23188,0.132340555153012,0.1494739,5065179.830190605,981252.0337300936,168.0,0.05259141927782033,0.0025859680448234463,0.010188273438096534,77.17391304347827,81.18729096989966,-4.0133779264213985
1221,52310661.65681815,41799,24823,7,-1073538.0311409817,24823,0.1368738603699263,0.1345929,1582426.1110873835,631415.8997629081,107.0,0.03025054665660362,0.002559869853345774,0.012070501113239304,67.80936454849498,71.90635451505017,-4.096989966555185
2173,3630893.835999048,5725,1909,6,34189.7659204739,1909,0.0825155908798208,0.1875327,28248.5401317458,0.0,5.0,0.007780051251201939,0.0008733624454148472,0.0,38.62876254180602,42.934782608695656,-4.306020066889637
2238,201757.0387401842,533,105,1,-4451.0996700494,105,0.1623993878815666,0.5238095,0.0,0.0,0.0,0.0,0.0,0.0,28.46989966555184,32.85953177257525,-4.389632107023413
1307,98758162.31646489,67420,23334,4,-1871884.5831510257,23334,0.1323735774342431,0.1807234,5014945.314504741,1163050.9924604166,164.0,0.05078005905410264,0.002432512607534856,0.011776758145149422,78.6789297658863,83.19397993311037,-4.515050167224075
1360,2009245.5504798477,3306,1009,4,62690.7170928973,1009,0.105679648604026,0.147671,1992.7772600191,0.0,1.0,0.0009918037442179157,0.00030248033877797946,0.0,26.42140468227425,31.145484949832777,-4.724080267558527
2179,200863.3422945806,457,105,2,-13278.392480682,105,0.1610188948005946,0.9714286,0.0,0.0,0.0,0.0,0.0,0.0,28.13545150501672,33.0685618729097,-4.933110367892976
987,51585251.79480626,41034,24274,7,-764049.6568612267,24274,0.1367509606595386,0.1315399,2109271.6262731967,446743.2545539256,107.0,0.04088904392021527,0.002607593702783058,0.00866029027697612,66.97324414715719,71.98996655518394,-5.016722408026752
2191,1480924.7674298508,3181,868,5,106356.861367544,868,0.0856614824511168,0.1509217,0.0,0.0,0.0,0.0,0.0,0.0,20.234113712374583,25.37625418060201,-5.142140468227428
