uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
33884811,1330,325.1818213958,-15.1397126628,-15.1397126628,0.4242424,34,34,0.500702420588,-0.878459344777224,-1533.3036557764,-1533.3036557764,56731.5623659449,0.4994709,0.5003569
124913630,2242,250.4557455450,-46.4198117582,-46.4198117582,0.4242424,34,34,0.500702420588,-0.878459344777224,-2051.9917509311,-2051.9917509311,70165.7705959821,0.5040460,0.5046108
14502162,2088,914.7521916825,-74.9670690016,-74.9670690016,0.4242424,34,34,0.500702420588,-0.878459344777224,-3563.1334831584,-3563.1334831584,124547.1038793727,0.4768805,0.4772532
33342426,2106,2190.0891088981,-253.5810444001,-253.5810444001,0.4242424,34,34,0.500702420588,-0.878459344777224,6027.0916824935,6027.0916824935,117906.0822314955,0.5103093,0.5119673
128768638,1957,479951.1118534240,-73495.2903743157,-73495.2903743157,0.4534884,93,93,0.500852350538,-0.8784722094787695,-2008870.6302564198,-2008870.6302564198,112738076.0154051838,0.4977317,0.4979485
143958976,1714,311.8002312823,34.7116900774,34.7116900774,0.4428571,75,73,0.495356280822,-0.8785164929548097,68.0813411530,68.0813411530,7283.1959993983,0.4723982,0.4743961
143887911,2121,2317.1919846236,-285.6992390131,-285.6992390131,0.4473684,85,85,0.497754369412,-0.8785178888161762,3033.4807910042,3033.4807910042,146834.3997683232,0.5048319,0.5065711
130779914,1304,12874.7988142560,-697.0332124843,-697.0332124843,0.4700855,270,270,0.498801975185,-0.8785586411179835,-2094.2063050495,-2094.2063050495,367314.0088755269,0.5019502,0.5029857
150766190,-1,409.9424004979,-43.3293549893,-43.3293549893,0.4428571,79,79,0.495362040506,-0.8786127811104945,-82.2479373150,-82.2479373150,1068.9637278806,0.4590164,0.4690265
116479096,2108,12980.4877077401,-4867.2034028378,-4867.2034028378,0.3437500,44,35,0.420420191429,-0.8786241383091776,-36916.0408532062,-36916.0408532062,2743596.1059136347,0.5132103,0.5141973
142006751,1330,55270.7329824541,1909.9949246217,1909.9949246217,0.4776119,462,460,0.499522853696,-0.8786252952719786,-88566.8411330437,-88566.8411330437,5868186.6039453867,0.5000810,0.5002655
130656409,1942,1830.7007394237,340.6167105856,340.6167105856,0.4193548,37,37,0.498258272973,-0.8786367896966687,-13394.9537182921,-13394.9537182921,443340.0862928741,0.4920438,0.4924444
141206323,1401,15968.3754729171,-6104.6549070679,-6104.6549070679,0.4193548,37,37,0.498258272973,-0.8786367896966687,-7906.9210327144,-7906.9210327144,221552.3321384630,0.4965481,0.4978402
142050158,2216,40373.5936532188,-1066.7035361564,-1066.7035361564,0.4635762,170,164,0.499327505488,-0.8786405975490005,-81210.6711007786,-81210.6711007786,6796813.7207018569,0.4989419,0.4991524
125783090,2171,44805.0157677481,1548.8260610413,1548.8260610413,0.4492754,75,75,0.502163166667,-0.8786464182328524,-63755.8507990295,-63755.8507990295,7948533.6090199468,0.4984559,0.4986953
126772340,2127,10330.6912063593,-1322.2801543262,-1322.2801543262,0.4492754,78,78,0.502163166667,-0.8786464182328524,-29947.0196146009,-29947.0196146009,1042678.6889317674,0.4944493,0.4950054
