member_id,罕见度,相似度,是否种子,T4新命中
119978601,0.4796057499038909,1.0,0,0
148768163,0.47814390529452755,1.0,0,0
124694529,0.5506029358701123,1.0,1,0
135874606,0.4590886645719577,1.0,0,0
61358713,0.6349206967845498,1.0,1,0
152039442,0.45731452065188877,1.0,1,0
141540124,0.41414646065790406,1.0,0,0
148627822,0.4888258454437639,1.0,1,0
142206548,0.41909367739773623,1.0,0,0
125979786,0.4471498235631339,1.0,0,0
115726825,0.45534650922112735,1.0,0,0
139992918,0.5501263115220134,1.0,1,0
126459054,0.4447893172912388,1.0,0,0
148326856,0.4727289274817495,1.0,1,0
144774147,0.4931558549799444,1.0,1,0
83864875,0.4291868511930731,1.0,0,0
101478559,0.48898424276805463,1.0,1,0
149040163,0.422339567607893,1.0,0,0
119978553,0.49138294142602057,1.0,0,0
114244658,0.43905988962747744,1.0,0,0
132989436,0.4689888630918639,1.0,1,0
141715514,0.5257872956945776,1.0,1,0
127442828,0.48331295247923617,1.0,1,0
137377337,0.6162326905331938,1.0,1,0
136684119,0.6735301112412635,1.0,1,0
149145113,0.41739535318582965,1.0,1,0
119978627,0.48189884521843,1.0,1,0
123657273,0.5957282513084047,1.0,1,0
147473203,0.629647585741156,1.0,1,0
152889066,0.5304488880253488,1.0,1,0
84779238,0.43960916691636676,1.0,0,0
129191690,0.4242695159245229,1.0,0,0
119978704,0.4534070343971973,1.0,1,0
149689828,0.4411345511051079,1.0,1,0
138980358,0.4354866803263613,1.0,1,0
36912650,0.47060171266173684,1.0,1,0
92444790,0.4457016268121466,1.0,1,0
151035848,0.4221601287450336,1.0,1,0
24664837,0.4865538288848453,1.0,0,0
142120278,0.453908888945117,1.0,0,0
151250169,0.6019072931751558,1.0,1,0
150518776,0.40796792335686705,1.0,0,0
151497249,0.420799903001227,1.0,0,0
107770897,0.45194660241886053,1.0,0,0
146970658,0.42943321612122776,1.0,1,0
102784284,0.5306360308119156,1.0,1,0
142866332,0.43934306701517684,1.0,0,0
150514857,0.4469794608542979,1.0,0,0
142327375,0.7839086953440383,1.0,1,0
148116964,0.47076119757279605,1.0,0,0
109769328,0.4371828192313757,1.0,0,0
150393635,0.40874702665330453,1.0,0,0
144329607,0.4083545741602361,1.0,0,0
147402520,0.45566000345924385,1.0,1,0
119978513,0.46850422341054787,1.0,0,0
149193695,0.4952160698624044,1.0,1,0
146904040,0.43174842554440296,1.0,0,0
148196307,0.4318165932392022,1.0,0,0
144617323,0.44483783380127934,1.0,1,0
110253930,0.47834414243142875,1.0,1,0
76947269,0.4648573247101173,1.0,1,0
129093415,0.5318230075937475,1.0,1,0
147448137,0.44523948630772703,1.0,0,0
148175647,0.43950290113752155,1.0,0,0
123591261,0.7880498634065436,1.0,1,0
146939138,0.41803244389726274,1.0,1,0
145870516,0.6439505147740092,1.0,1,0
118118853,0.7234120233534173,1.0,1,0
140823006,0.5739131807859006,1.0,1,0
25357426,0.44653377454152715,1.0,0,0
74119380,0.5226638091593969,1.0,1,0
70738619,0.48401790599680455,1.0,1,0
108109845,0.46028404605875717,1.0,1,0
