member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149200367,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,4.2164737630,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149200503,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,50.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149200530,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,5.2351909536,7.8527864304,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149200922,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,235.5835929116,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149200947,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,105.4118440748,0E-10,0E-10,1,0,0,1,0E-7,两者皆低·判UNKNOWN
149201964,2026-07-01,游戏输赢为零,有值,3,3,1,1,0,0,0,3,0E-7,20.4390303724,20.4390303724,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149202088,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,500.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149203007,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,26.1759547680,26.1759547680,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149206370,2026-04-01,游戏输赢为零,有值,4,4,1,4,0,0,0,4,0E-7,104.7038190720,104.7038190720,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149206658,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,7.8527864304,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
