dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-07-20,7,114716852,3,1,3,0,3,4,残靴：截断／换荷官／开收台可疑,87.0,220,1
2026-07-22,33,114719079,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0,221,1
2026-07-22,902,1295538,3,2,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0,222,1
2026-07-27,116,114724603,3,1,3,0,17,35,残靴：截断／换荷官／开收台可疑,87.0,223,1
2026-07-29,116,114726861,3,1,3,0,20,33,残靴：截断／换荷官／开收台可疑,87.0,224,1
2026-07-29,7,114726864,3,1,3,0,8,10,残靴：截断／换荷官／开收台可疑,87.0,225,1
2026-08-01,6,114730280,3,1,3,0,7,10,残靴：截断／换荷官／开收台可疑,87.0,226,1
2026-08-01,903,12103753,3,3,1,2,4,4,残靴：截断／换荷官／开收台可疑,87.0,227,1
2026-08-04,913,12105993,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,228,1
2026-08-05,6,114734681,3,1,3,0,10,14,残靴：截断／换荷官／开收台可疑,87.0,229,1
2026-08-06,901,12107519,3,1,3,0,8,25,残靴：截断／换荷官／开收台可疑,87.0,230,1
2026-03-27,7,114590920,2,1,2,0,4,9,残靴：截断／换荷官／开收台可疑,87.0,231,1
2026-04-03,5,114598749,2,1,2,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,232,1
2026-04-03,7,114598748,2,1,2,0,7,13,残靴：截断／换荷官／开收台可疑,87.0,233,1
2026-04-03,912,126693,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0,234,1
2026-04-05,913,127774,2,1,2,0,17,25,残靴：截断／换荷官／开收台可疑,87.0,235,1
2026-04-06,113,114601975,2,1,2,0,13,19,残靴：截断／换荷官／开收台可疑,87.0,236,1
2026-04-07,5,114603062,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0,237,1
2026-04-09,902,1210570,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0,238,1
2026-04-11,32,114607426,2,1,2,0,11,16,残靴：截断／换荷官／开收台可疑,87.0,239,1
2026-04-12,911,1212619,2,1,2,0,8,12,残靴：截断／换荷官／开收台可疑,87.0,240,1
2026-04-17,36,114613701,2,1,2,0,7,8,残靴：截断／换荷官／开收台可疑,87.0,241,1
2026-04-19,913,1217336,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0,242,1
2026-04-20,905,1218179,2,1,2,0,8,8,残靴：截断／换荷官／开收台可疑,87.0,243,1
2026-04-21,112,114617920,2,1,2,0,16,23,残靴：截断／换荷官／开收台可疑,87.0,244,1
2026-04-21,37,114617919,2,1,2,0,12,26,残靴：截断／换荷官／开收台可疑,87.0,245,1
2026-04-21,911,1218371,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0,246,1
2026-04-24,905,1220953,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0,247,1
2026-04-25,35,114622316,2,1,2,0,4,6,残靴：截断／换荷官／开收台可疑,87.0,248,1
2026-04-25,7,114622319,2,2,1,1,3,3,残靴：截断／换荷官／开收台可疑,87.0,249,1
2026-04-26,115,114623282,2,1,2,0,11,14,残靴：截断／换荷官／开收台可疑,87.0,250,1
2026-04-29,3,114626578,2,2,1,1,3,7,残靴：截断／换荷官／开收台可疑,87.0,251,1
2026-05-01,7,114628880,2,1,2,0,2,2,残靴：截断／换荷官／开收台可疑,87.0,252,1
2026-05-01,901,1225779,2,2,1,1,3,4,残靴：截断／换荷官／开收台可疑,87.0,253,1
2026-05-02,36,114630099,2,1,2,0,4,5,残靴：截断／换荷官／开收台可疑,87.0,254,1
2026-05-08,113,114636769,2,1,2,0,16,29,残靴：截断／换荷官／开收台可疑,87.0,255,1
2026-05-11,911,1234010,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0,256,1
2026-05-13,113,114641869,2,1,2,0,17,21,残靴：截断／换荷官／开收台可疑,87.0,257,1
2026-05-13,912,1235660,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0,258,1
2026-05-14,6,114642926,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0,259,1
2026-05-15,905,1237337,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0,260,1
2026-05-17,36,114645969,2,1,2,0,4,7,残靴：截断／换荷官／开收台可疑,87.0,261,1
