t,c,v,n,pct
ods_a168_bet02,bet03,114610994,12092,0.0000587
ods_a168_bet02,bet03,114709615,12089,0.0000587
ods_a168_bet02,bet03,114706523,12088,0.0000587
ods_a168_bet02,bet03,114624848,12076,0.0000587
ods_a168_bet02,bet03,114657286,12075,0.0000587
ods_a168_bet02,bet03,114586953,12068,0.0000586
ods_a168_bet02,bet03,114586860,12048,0.0000585
ods_a168_bet02,bet03,114728084,12035,0.0000585
ods_a168_bet02,bet03,114679381,12032,0.0000584
ods_a168_bet02,bet03,114728270,12032,0.0000584
ods_a168_bet02,bet03,114698339,12029,0.0000584
ods_a168_bet02,bet03,114606800,12028,0.0000584
ods_a168_bet02,bet03,114685550,12023,0.0000584
ods_a168_bet02,bet03,114741926,12004,0.0000583
ods_a168_bet02,bet03,114727325,12000,0.0000583
ods_a168_bet02,bet03,114634746,11999,0.0000583
ods_a168_bet02,bet03,114681337,11984,0.0000582
ods_a168_bet02,bet03,114627033,11983,0.0000582
ods_a168_bet02,bet03,114677038,11982,0.0000582
