ip,n_member_log,country,city,in_bet_ip
112.91.91.22,630,CN,Guangzhou,0
220.202.8.150,629,CN,Wuhan,0
210.19.121.101,624,MY,Kuala Lumpur,0
112.48.136.47,621,CN,Xiamen,0
183.193.195.165,620,CN,Shanghai,0
183.66.107.107,619,CN,Chongqing,0
220.202.8.149,619,CN,Wuhan,0
180.101.154.17,618,CN,Suzhou,0
117.163.62.198,614,CN,Beijing,0
153.43.73.25,612,CA,North York,0
113.142.209.185,612,CN,Xianyang,0
183.66.107.115,609,CN,Chongqing,0
14.0.44.126,607,JP,Tokyo,0
223.109.46.77,606,CN,Nanjing,0
122.195.144.31,606,CN,Suqian,0
163.171.204.130,606,IN,Mumbai,0
183.66.107.125,604,CN,Chongqing,0
58.220.74.163,602,CN,Yangzhou,0
153.43.73.26,600,CA,North York,0
112.91.91.19,600,CN,Guangzhou,0
220.202.8.148,597,CN,Wuhan,0
122.195.144.62,594,CN,Suqian,0
117.145.179.17,592,CN,Beijing,0
124.225.115.40,590,CN,Haikou,0
180.101.154.19,589,CN,Suzhou,0
117.163.62.200,588,CN,Beijing,0
124.225.115.42,584,CN,Haikou,0
120.220.196.141,582,CN,Beijing,0
113.6.84.210,581,CN,Suihua,0
122.195.144.108,581,CN,Suqian,0
180.101.154.12,580,CN,Suzhou,0
223.109.46.78,571,CN,Nanjing,0
218.24.86.114,570,CN,Shenyang,0
218.24.86.84,568,CN,Shenyang,0
35.220.201.125,565,HK,Hong Kong,0
211.95.52.58,564,CN,Shanghai,0
180.101.154.16,564,CN,Suzhou,0
117.66.32.49,564,CN,Ma'anshan,0
42.101.77.14,564,CN,Helong,0
42.101.77.15,563,CN,Helong,0
112.91.91.11,561,CN,Guangzhou,0
117.66.32.46,559,CN,Ma'anshan,0
138.113.89.74,557,JP,Tokyo,0
117.66.32.50,556,CN,Ma'anshan,0
115.67.96.88,556,TH,Bangkok,0
117.161.146.142,556,CN,Hohhot,0
116.153.79.29,553,CN,Nanchang,0
27.128.218.40,551,CN,Shijiazhuang,0
112.48.136.48,547,CN,Xiamen,0
183.204.228.73,545,CN,Nanyang,0
14.0.43.118,537,JP,Osaka,0
14.0.43.97,536,JP,Osaka,0
116.153.79.28,536,CN,Nanchang,0
117.66.32.43,535,CN,Ma'anshan,0
42.231.143.38,535,CN,Nanyang,0
103.45.79.96,535,CN,Nanjing,0
120.233.1.236,534,CN,Beijing,0
120.233.1.235,526,CN,Beijing,0
27.128.218.43,526,CN,Shijiazhuang,0
112.48.136.17,526,CN,Xiamen,0
124.88.32.25,525,CN,Changji,0
58.220.64.32,525,CN,Yangzhou,0
49.119.120.141,522,CN,Changji,0
140.150.15.85,521,MM,Yangon,0
120.220.196.139,520,CN,Beijing,0
221.180.208.200,520,CN,Shenyang,0
49.119.120.142,518,CN,Changji,0
42.231.143.36,517,CN,Nanyang,0
112.91.91.18,517,CN,Guangzhou,0
58.220.64.30,514,CN,Yangzhou,0
117.144.98.49,513,CN,Shanghai,0
103.254.188.162,513,CN,Beijing,0
140.150.15.16,510,MM,Yangon,0
112.46.150.51,509,CN,Xianyang,0
117.144.98.29,508,CN,Shanghai,0
42.231.143.37,506,CN,Nanyang,0
180.97.211.46,504,CN,Suzhou,0
180.97.211.41,503,CN,Suzhou,0
103.45.79.95,501,CN,Nanjing,0
111.124.71.90,501,CN,Zunyi,0
117.144.98.25,501,CN,Shanghai,0
123.6.17.54,501,CN,Zhengzhou,0
14.0.44.174,500,JP,Tokyo,0
27.128.218.42,500,CN,Shijiazhuang,0
103.45.79.94,499,CN,Nanjing,0
120.221.107.158,498,CN,Zibo,0
112.46.150.63,497,CN,Xianyang,0
211.95.37.74,496,CN,Shanghai,0
