dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率
1007,2046229.3765720365,3581,952,4,47881.3200732390,952,0.06695936983857183,0.0640756
1360,2009245.5504798474,3306,1009,4,62690.7170928973,1009,0.10567964860402602,0.1476710
2068,1997850.5273576023,4100,1069,6,49697.6649748730,1069,0.09062514288436646,0.0682881
1060,1976972.6660954179,3247,918,4,201947.3907353505,918,0.06197752912244572,0.2145969
1996,1926868.3034928424,4119,1132,7,12296.1314272752,1132,0.07649446073869012,0.0636042
1267,1919787.8496234638,3166,910,3,144251.3824405383,910,0.0653220676860678,0.2868132
2230,1910115.8426594495,3511,878,5,-14081.4036957644,878,0.12998527178545374,0.3997722
969,1909656.4089545590,3361,1052,6,21809.5418198140,1052,0.08504496874621613,0.1159696
1956,1889093.6712043056,3295,1008,6,-81917.2717299157,1008,0.12259517376225094,0.1537698
1993,1885331.9027723971,3561,1136,5,15059.9814434316,1136,0.13568606295580152,0.1038732
1680,1835311.6476820513,2884,1075,4,-111350.7259550422,1075,0.13477971360111898,0.3386047
1300,1811194.6379998816,3795,1022,5,-21019.2358391343,1022,0.1352311905805152,0.1027397
2257,1797190.0580733407,2668,875,5,51924.9521877824,875,0.11862247744705554,0.0937143
2198,1791856.3339482692,3831,1154,5,-48007.1491550611,1154,0.09332137508798692,0.0849220
1105,1775480.5941186360,2997,764,3,-12347.1622262209,764,0.1450801939159313,0.3010471
626,1769595.6243575315,3730,885,4,-78067.2731801874,885,0.13506248370980822,0.1062147
2100,1714264.9062068748,3353,1066,4,-153922.2480609907,1066,0.13472070945515263,0.0759850
1108,1661818.9110670278,2689,971,3,-44841.9292085891,971,0.1361064674948537,0.1287333
1296,1639558.9705187237,2832,932,4,47330.0292098514,932,0.13669023713386377,0.1201717
796,1634285.3254147529,3349,1113,5,16885.9741192114,1113,0.13492614098142458,0.0637916
2221,1609309.9218011753,2757,887,7,78594.4236992230,887,0.13017624738672717,0.1589628
1508,1597635.7072912007,2818,902,3,-57033.3178434252,902,0.11385776007061331,0.1352550
2077,1574583.7640378722,2743,981,6,-79964.4486092877,981,0.0837614900722814,0.3149847
2081,1565521.8411744466,3088,808,4,-215058.7348419972,808,0.06925897184208395,0.2128713
759,1563420.1813227924,2857,888,3,-36500.3678783398,888,0.1354097503061279,0.2961712
2186,1560934.6903066894,2495,720,4,-57188.6371780778,720,0.05361812599141414,0.2138889
1393,1515985.8148058702,3183,725,4,-51854.2717182019,725,0.13520622875862784,0.1806897
2060,1506785.5909202917,3014,730,4,-123660.3129320075,730,0.13572870349445446,0.2726027
2191,1480924.7674298508,3181,868,5,106356.8613675440,868,0.08566148245111684,0.1509217
1222,1472477.4071444238,2394,713,6,57587.0574452734,713,0.06724354397148774,0.1528752
2140,1446399.4014136421,3410,1035,6,-27353.0358415796,1035,0.09235214941769002,0.1004831
2104,1433296.2187612481,3225,922,4,32368.5466534527,922,0.08391761384713628,0.2114967
2074,1423291.6330244793,2580,793,6,37022.3110820129,793,0.07615819911744162,0.1727617
1391,1393271.6629381616,2321,702,2,-34701.5106688485,702,0.13674039764436902,0.0897436
2272,1160699.5030364581,2829,814,4,-69885.0393983506,814,0.13450832896020956,0.0638821
2083,1158904.2224111081,2433,613,5,42812.7904667362,613,0.08077924509757628,0.1729201
2240,1156875.0267658689,2524,810,4,-69825.0140907038,810,0.13510617914505438,0.2666667
1965,1132968.0375045808,2278,608,3,-136057.0863953769,608,0.13428557462806862,0.1628289
2185,1039698.9017931652,1595,549,4,71827.6312861039,549,0.13115746609309567,0.1183971
1202,1009622.6412556939,1738,524,3,-70558.0204533646,524,0.1350689618765498,0.3187023
1258,1009619.4391387566,2184,637,4,-109767.4359845635,637,0.06996675499264217,0.4427002
1751,1008311.9243162574,1922,687,3,-9137.3787764176,687,0.13543992410708633,0.4672489
2273,997168.2971538108,1720,465,4,145255.5084048552,465,0.14919254295902892,0.2881720
1934,995703.9267634264,2006,710,5,-65365.0677971331,710,0.12819159675251143,0.1338028
2253,988005.8142275567,1789,408,2,42789.5754384938,408,0.12214085641588888,0.5514706
1158,968851.4041718559,1919,566,2,-96748.9260561926,566,0.1358303043692281,0.2014134
1398,937080.6242268782,2049,558,3,52846.2786760875,558,0.11795174533235363,0.3010753
2087,926006.7463600426,2215,651,4,-17623.4962585605,651,0.05543961579145004,0.1520737
2268,828922.7759845072,1249,332,2,-48867.3961255546,332,0.13456582456847865,0.2078313
2082,760873.9819002949,1316,328,3,88924.7110705037,328,0.05315247392680232,0.0975610
2249,592939.9955690825,629,301,2,-13137.9851931815,301,0.1233510466364256,0.3289037
1370,527079.2977602532,1243,371,5,14173.4284776313,371,0.053774692427351035,0.0835580
1095,484393.9525188796,798,198,4,3892.7372190625,198,0.07618056967669111,0.2525253
2091,378818.4639574581,1187,267,3,5872.1123596699,267,0.135075181076482,0.1947566
1256,339196.2084212625,669,246,1,-9898.4479753844,246,0.1577368751599747,0.2682927
1266,338622.9588715557,474,237,2,-29458.7295939036,237,0.12804824930578848,0.1729958
1144,220549.6578137140,823,179,2,-28429.0439913605,179,0.1365499988311728,0.1396648
2190,218554.2159500178,405,154,3,59576.6014017692,154,0.11958746981415407,0.4220779
2238,201757.0387401842,533,105,1,-4451.0996700494,105,0.16239938788156666,0.5238095
2179,200863.3422945806,457,105,2,-13278.3924806820,105,0.16101889480059464,0.9714286
2247,180640.8442307861,360,193,2,13626.2588770161,193,0.12986515812852956,0.4455959
2139,119538.9363659902,328,113,1,-32992.8611197295,113,0.1577368750865123,0.9823009
1698,8486.9995904699,41,21,1,90.6927304687,21,0.13157032701739144,0.5238095
532,4985.4095076736,42,4,2,-2261.9139856148,4,0.136172886886501,0.5000000
1147,2432.7088950287,19,3,1,795.8144280086,3,0.13603394441910585,0.3333333
