table,column,rows,sum,max_abs,ratio_to_stake,ratio_to_gross_ggr,units_verdict
VB_41c2_concentration.csv,sum_stake,2,2242708,2242638,0.00016691667145458,0.00957796144731909,PLAUSIBLE
VB_41c2_concentration.csv,sum_validbet,2,2242708,2242638,0.00016691667145458,0.00957796144731909,PLAUSIBLE
VB_41c2_concentration.csv,min_stake,2,11,10,0.000000000818690344886797,0.0000000469778392552709,PLAUSIBLE
VB_41c2_concentration.csv,max_stake,2,1000010,1000000,0.0000744271392536587,0.00427075536669667,PLAUSIBLE
VB_41c2_concentration_v2.csv,sum_stake,2,2242708,2242638,0.00016691667145458,0.00957796144731909,PLAUSIBLE
V_recon.csv,mae_rebate,1,0.000529829,0.000529829,0.0000000000000394332624310024,0.00000000000226274741770735,PLAUSIBLE
V_recon.csv,scale_rebate,1,1.5214160941,1.5214160941,0.000000000113233515163187,0.00000000649753097354653,PLAUSIBLE
V_recon.csv,mase_rebate,1,0.000348247269,0.000348247269,0.0000000000000259187887966814,0.00000000000148726402037901,PLAUSIBLE
X_combo.csv,game_pnl,2,-194647602.09361,147137068.692754,-0.0144869193172187,-0.831283978416137,PLAUSIBLE
Z14_zero_month_diagnosis.csv,sum_valid_bet,14060,2162935.907276,200000,0.000160979522172347,0.00923727776104229,PLAUSIBLE
Z14_zero_month_diagnosis.csv,sum_stake,14060,4240308.81570103,200000,0.000315590898795709,0.018109140539701,PLAUSIBLE
Z14_zero_month_diagnosis.csv,sum_game_pnl,14060,-17055.0339649646,1000,-0.00000126934469443935,-0.000072837149463572,PLAUSIBLE
Z14_zero_month_diagnosis.csv,sum_rebate,14060,1824.2375592412,873.9157982125,0.000000135771425139148,0.00000779079443831461,PLAUSIBLE
_PH0_1b_table_inventory.csv,has_amount,131,33,1,0.00000000245607103466039,0.000000140933517765813,CHECK
