dealer_id,Estimate,Est.Error,Q2.5,Q97.5,n_obs,mean_roi,total_turnover,Q0.25,Q99.75,Q0.05,Q99.95,显著_p005,显著_p001
2152,-0.0148142846245489,0.012360183907762,-0.0397707039846008,0.00902903400217568,744,0.436470198006908,894328251,-0.0496051758030336,0.0195556921306427,-0.0525684791184215,0.0233296186457178,FALSE,FALSE
1654,-0.0144965321320437,0.0110041000147468,-0.0363619442288699,0.00636565803163563,1018,0.436830574136856,741142400,-0.0439211370606534,0.0155894234881574,-0.0483609290368024,0.0194938813319658,FALSE,FALSE
2288,-0.0141547075561879,0.0134524717560192,-0.0406516673382198,0.0124087834438551,597,0.436690075200519,1022278173,-0.0524746234672863,0.0237721165601729,-0.0579520814341311,0.0268097527204657,FALSE,FALSE
2156,-0.0128958505597759,0.0127502164380358,-0.037525713816468,0.0119745852843574,692,0.438248480394898,839971075,-0.0491186714265231,0.0249385124542076,-0.0553239126621933,0.0293234963693191,FALSE,FALSE
2258,-0.0128177037209619,0.0119086009914663,-0.036380450460754,0.00978690837036018,807,0.438531228263135,559434053,-0.0467551262118603,0.0178292475446696,-0.0527818986914514,0.0213075715159534,FALSE,FALSE
1957,-0.0113569150341435,0.0116035645860975,-0.0342274474310169,0.0112678612083691,830,0.439975998362108,1098638406,-0.0451038918727266,0.0211562184702943,-0.0521684815598494,0.0240886433176793,FALSE,FALSE
2175,-0.0108096151310579,0.0122745026693271,-0.03487830451655,0.013146870278536,738,0.4404110626042,446935173,-0.0448201795174153,0.0241279461118051,-0.0488950819454458,0.0312624551007767,FALSE,FALSE
2271,-0.00967302578590094,0.0161097700016713,-0.0414494520135182,0.0212959017563628,384,0.441197105844036,208293651,-0.0523626555093946,0.0342715667483291,-0.0597921487573483,0.0404087314330902,FALSE,FALSE
2117,-0.00965055396699068,0.0131429764411176,-0.0352087385483268,0.0175298987127454,631,0.441682327462757,578703741,-0.0444530713982339,0.0260234460043629,-0.0485249565041776,0.0309457164995337,FALSE,FALSE
2224,-0.00913276092424391,0.0460292226716562,-0.100496225969874,0.0800587327845997,11,0.414631719295454,2754705,-0.140337638150379,0.12324259123694,-0.155878935091416,0.137930946361545,FALSE,FALSE
2243,-0.0079249580031199,0.0275010331854811,-0.0606260459631743,0.0449962435101622,100,0.4407707958766,147187002,-0.0893093859594106,0.0717034116659426,-0.100388510758149,0.0816984669062244,FALSE,FALSE
1942,-0.00766846890782232,0.0103128696832144,-0.0277053362730534,0.0126857815238104,1203,0.443965467449467,1038042606,-0.0344281931346874,0.0207091509437915,-0.0367214654312688,0.0257004465065071,FALSE,FALSE
1399,-0.00679065721556207,0.012290279818684,-0.0314633084630977,0.0176555404557454,753,0.444487694298871,435758503,-0.0405320357264643,0.0280997125489685,-0.0458561290480272,0.0318358177384353,FALSE,FALSE
2248,-0.00615605143232689,0.0131769211063494,-0.0320233124351372,0.0194544214826103,600,0.445512289598983,507658073,-0.0420488918743313,0.0326976985463528,-0.0486425762109732,0.0368782362995112,FALSE,FALSE
1509,-0.00392447767401431,0.0489267677601095,-0.100822454228328,0.094259555653633,3,0.395459809903333,34325,-0.139372831691209,0.137843114936292,-0.163705661960542,0.152982005043488,FALSE,FALSE
2280,-0.00340044787271067,0.0477397383990773,-0.0985157129871914,0.0881375339886023,5,0.42958629548,4892371,-0.130663212755221,0.127448735087385,-0.158850635350945,0.150513030417985,FALSE,FALSE
2256,0.000327317334035948,0.0123158680552718,-0.0234734319788455,0.0245137956601892,745,0.452304451683933,692108127,-0.0341996851572044,0.0353800712214348,-0.038669529466028,0.0390426872061813,FALSE,FALSE
2239,0.000944117321247819,0.0139985203295132,-0.0269931355390751,0.0282528750412306,511,0.452983525265675,209992566,-0.0368251175403682,0.0394515035122034,-0.042834072532193,0.0409760714714654,FALSE,FALSE
1110,0.00272692637965675,0.0271399063508672,-0.0486364899315655,0.0567766676523082,102,0.455340754961569,58068092,-0.0722419441879351,0.0767019813947516,-0.0828892575063086,0.0855969558848884,FALSE,FALSE
2278,0.00442923239762452,0.0129968870060648,-0.0213234135054591,0.0296346890284604,650,0.456864741524062,519040391,-0.0304229339739027,0.0390518882186586,-0.0360454085981263,0.0468172732507088,FALSE,FALSE
2273,0.00483775072745127,0.0459833564904333,-0.0852530651962853,0.0945441804264973,6,0.483284069045,15241153,-0.127463255069133,0.135199575707112,-0.154257757728485,0.153929162634387,FALSE,FALSE
1346,0.00576266362222686,0.0459996157782318,-0.0815523246882021,0.0935700171265639,8,0.48362126438375,3959194,-0.134578402617222,0.145561871276657,-0.171935262366048,0.1641232353018,FALSE,FALSE
2173,0.00627968494492419,0.034009342983347,-0.0595372700509515,0.0720422474370623,52,0.463243686547115,13793282,-0.0885752330229991,0.0974136893630757,-0.0977097337565764,0.115243836338991,FALSE,FALSE
