日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-06-02,954543,94341788.7168610340,84963123.0607262234,-1859748.9500397056,67370.2007944171,84963123.0607262234,-1792378.7492450096,2.789E-7,-84963123.0607259445,-84895752.8599315274,-0.021888895830,-0.019712886255,69230,0
2026-06-03,897157,93011683.7083244658,83712585.9318850497,-1250237.4529179311,54194.5533780187,83712585.9318850497,-1196042.8995396128,2.996E-7,-83712585.9318847501,-83658391.3785067314,-0.014934880329,-0.013441724771,64201,0
2026-06-04,856947,90084749.5235158680,81094662.6873119480,-1733056.4779753034,60131.9081879731,81094662.6873119480,-1672924.5697871235,2.068E-7,-81094662.6873117412,-81034530.7791237681,-0.021370783484,-0.019238067344,66175,0
2026-06-05,925045,95153988.5735282487,85610127.3579703625,-2264640.3319262376,69967.3471116704,85610127.3579703625,-2194672.9848143599,2.073E-7,-85610127.3579701552,-85540160.0108584848,-0.026452948989,-0.023799741512,75377,0
2026-06-06,882372,93426976.2350420454,84318933.8373633237,-1309240.4812107904,62672.6662275841,84317317.7544861247,-1246567.8149829274,2.789E-7,-84317317.7544858458,-84254645.0882582617,-0.015527241885,-0.014013516588,65321,0
2026-06-07,740603,73597223.4181409189,66278351.8770272830,-2169420.4432912378,40256.3773196837,66278351.8770272830,-2129164.0659712710,2.831E-7,-66278351.8770269999,-66238095.4997073162,-0.032731961219,-0.029476933266,60773,0
2026-06-08,805170,99633431.5896469710,89830907.9349400230,-1905715.0670237072,87945.0127357802,89830907.9349400230,-1817770.0542877926,1.344E-7,-89830907.9349398886,-89742962.9222041084,-0.021214469617,-0.019127265182,65196,0
2026-06-09,895804,95686553.1106197956,86056396.3030769415,-696359.1198374825,69666.7270288340,86056396.3030769415,-626692.3928084046,2.439E-7,-86056396.3030766976,-85986729.5760478636,-0.008091892640,-0.007277502399,68986,0
2026-06-10,1007639,109769366.4594893811,99219904.9270811976,-2029589.5422242683,45677.1986216659,99219904.9270811976,-1983912.3436023399,2.625E-7,-99219904.9270809351,-99174227.7284592692,-0.020455467516,-0.018489580542,80209,0
2026-06-11,876829,99944961.2091734532,90184823.5834332644,-2303477.0838758783,57999.3808423854,90184823.5834332644,-2245477.7030332970,1.959E-7,-90184823.5834330685,-90126824.2025906831,-0.025541737427,-0.023047455880,67942,0
2026-06-12,884741,122301329.8045297342,109857607.9979516683,-2304494.3027311237,66033.1119416865,109857607.9979516683,-2238461.1907891869,2.503E-7,-109857607.9979514180,-109791574.8860097315,-0.020977102494,-0.018842757527,73310,0
2026-06-13,881125,88907122.7604456982,80055598.4804872231,-1927532.7485470579,57165.2400742003,80055598.4804872231,-1870367.5084725845,2.731E-7,-80055598.4804869500,-79998433.2404127497,-0.024077426003,-0.021680296119,78771,0
2026-06-14,798251,78693853.2633604253,70838007.4864585821,-1473454.1075160087,55448.2390913703,70838007.4864585821,-1418005.8684244283,2.101E-7,-70838007.4864583720,-70782559.2473670017,-0.020800332474,-0.018723877996,65325,0
2026-06-15,856107,100201012.3191210286,90099355.9449548298,-1554876.9394203444,43634.8400133411,90099355.9449548298,-1511242.0994066769,3.264E-7,-90099355.9449545034,-90055721.1049411623,-0.017257359091,-0.015517577152,75235,0
2026-06-16,964956,104347014.2792459987,93904642.7178214112,-1676197.4735401131,69314.4685535761,93904642.7178214112,-1606883.0049860307,5.063E-7,-93904642.7178209049,-93835328.2492673288,-0.017849995751,-0.016063684094,84563,0
2026-06-17,948161,113064898.4947099560,101851308.6781334194,-3017131.2870664822,102866.9856118874,101851308.6781334194,-2914264.3014542541,3.407E-7,-101851308.6781330787,-101748441.6925211913,-0.029622901524,-0.026684951097,74469,0
2026-06-18,902646,109817827.1407560908,98895543.5050946474,-1384660.6114172655,64781.8089863777,98895543.5050946474,-1319878.8024305952,2.926E-7,-98895543.5050943548,-98830761.6961079771,-0.014001243760,-0.012608705230,76341,0
