IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
123.16.86.36,124,366,2,13167.713144102538,-20.87333298738963,-20.87333298738963,2.822772658263087e-06,9.471459364798981e-07,44
14.182.226.212,123,1109,4,22272.59639295343,-190.27301520822937,-190.27301520822945,8.55315540440919e-06,1.6020548851256482e-06,44
104.28.166.52,122,2550,87,2567464.885994981,38943.80612514452,38967.06493148758,1.966685868461987e-05,0.0001846762537437332,44
103.86.50.12,121,273,17,13216.163765997964,-205.23570997551195,-205.23570997551172,2.105510753294598e-06,9.506309614911493e-07,44
115.76.54.7,120,280,9,10728.277120063478,523.1300010659405,523.1300010659405,2.15949820850728e-06,7.716787242019572e-07,44
123.19.124.43,120,162,8,6301.673065563817,-475.82516738589686,-475.8251673858969,1.2494239634934978e-06,4.53275672985538e-07,44
104.28.157.202,119,2721,79,377815.43405477115,-38677.38041590124,-38676.831719056245,2.0985695090529673e-05,2.7176044100310245e-05,44
104.28.119.143,117,2706,114,314499.6528529451,-8950.526185670802,-8950.526185670802,2.0870007686502498e-05,2.2621776838859572e-05,44
115.76.55.88,116,241,8,5885.2465657700295,-24.99365472196442,-24.99365472196442,1.8587109580366232e-06,4.2332235741692834e-07,44
171.225.198.153,115,1542,30,12452.253576463758,-288.0084956310521,-288.0084956310521,1.1892665133993663e-05,8.956833465230207e-07,44
58.8.110.8,112,557,8,6287.965489919891,-15.956510256184437,-15.956510256184437,4.295858936209125e-06,4.522896950539068e-07,44
112.47.145.165,112,297,2,1763.0,-222.65000000000003,-222.65000000000003,2.2906105997380793e-06,1.2681156308162188e-07,44
42.113.136.49,111,1942,24,26212.982510042697,559.8871546039707,559.8871546039704,1.4977662574718348e-05,1.8854845633180547e-06,44
103.199.33.76,109,1754,80,112442.71050630495,-4842.893805673982,-4842.893805673982,1.3527713777577746e-05,8.087938670697015e-06,44
171.225.199.32,109,1174,26,10213.914549022003,-206.3085351930593,-206.3085351930593,9.054467488526953e-06,7.346809240746451e-07,44
116.98.2.55,108,1227,61,14177.068311935647,32.46840454294805,32.46840454294819,9.463229649422973e-06,1.0197482657694215e-06,44
104.28.205.73,107,5025,91,228174.99333878563,-10949.081787274177,-10949.081787274177,3.875528034910386e-05,1.641249436269431e-05,44
14.243.122.74,107,229,7,1704.5781744889146,-24.801717142632803,-24.801717142632803,1.7661610348148826e-06,1.2260931520235783e-07,44
