uid1,uid2,总同桌局数
38559714,146165294,464
104846702,113311676,464
6255961,119951357,464
72216248,116709258,463
146539785,148541506,463
134920997,142020180,463
49291334,135715113,463
136592105,142020180,463
120316504,148484465,462
123115889,140287512,462
101153588,125771884,462
110916977,147717608,462
72427495,131067716,462
31160697,146317256,462
118118853,147908907,462
145524668,150635380,462
101506309,148630990,462
141621532,145846574,461
72216248,132319851,461
110449804,146314916,461
142327375,146314916,461
36124378,142020180,461
142327375,148175647,461
52373518,139169953,461
35471813,148541506,461
74119380,123903499,461
101054871,125487212,461
81846921,147095398,461
120668347,136663437,461
88084997,89596067,461
130915172,142020180,461
116998222,142478759,460
81846921,146312689,460
137060518,141556233,460
6255961,140624031,459
38559714,146406963,459
72216248,144121792,459
101506309,118402175,459
8788462,10649454,459
7697855,147761702,459
116007922,118670037,459
137163648,142020180,459
23071490,101506309,459
90473758,133648785,459
81846921,119636387,459
93613436,148541506,459
123483915,133831900,459
123297044,123591261,458
80385852,134611684,458
72216248,146470111,458
90473758,148998707,458
142478759,150635356,458
6255961,150294823,458
142020180,143913418,457
20528051,77376560,457
20528051,148308624,457
93387125,142478759,457
91935079,123483915,457
20528051,105558588,457
114881779,142047257,456
123903499,139931094,456
74119380,90473758,456
120316504,128064401,456
142020180,150832975,456
122551101,139169953,456
145846574,148024617,455
7462908,133831900,455
3206119,141556233,455
120046662,133054869,454
81862362,147607617,454
142318749,145846574,454
47651653,131113734,454
68360281,139169953,454
122249925,123903499,454
90473758,149592717,454
135715113,139551868,454
115314671,146517701,453
34893897,146517701,453
72216248,110818333,453
125665720,147601011,453
80583981,134611684,453
142668385,151306316,453
6255961,17529000,453
80499351,142009960,452
121732938,133054869,452
111902618,120316504,452
65060864,148417908,452
145846574,147607699,452
140445234,148630990,452
125977176,142020180,452
129142601,142020180,452
34266298,38559714,451
114881779,133319507,451
136930242,146517701,451
6255961,128096699,451
123903499,142125505,451
19570235,150132692,451
49285724,120316504,451
139551868,152352973,451
19570235,149243919,451
121732938,135702585,450
135715113,145930634,450
101054871,135715113,450
19570235,84773768,450
37687359,142020180,450
80499351,147652556,449
72427495,139169953,449
43335570,135444165,449
106195450,142121323,449
148048286,150132692,449
138069421,146517701,448
113311676,142787360,448
49285724,139969795,448
115291564,120046662,448
22477772,152352973,448
133539186,142020180,447
80499351,135444165,447
137824018,142020180,447
20528051,148272912,447
107312460,142478759,447
47651653,120249935,447
120064641,142391599,447
120249935,151271998,447
