member_id,Recency,Frequency,Monetary
107728641,111,29,3960.0000
148232721,111,13,746.0000
148232727,111,4,131.0000
147359864,106,107,22145.0000
17437679,37,247,484317.0000
123001319,18,637,85712.0000
147200501,20,1909,56623.0000
146256778,120,23,2200.0000
135992420,3,258,6656.0000
113941487,0,1390,289709.0000
145563067,55,151,8800.0000
142989464,105,375,18744.0000
147630170,118,150,4185.0000
147815483,120,8,320.0000
124769491,119,11,520.0000
95712682,10,1238,179547.0000
94532563,79,18,4738.0000
60741128,0,1026,137338.0000
145213101,116,34,1605809.0000
128237327,0,1270,311320.0000
145595886,115,70,16314.0000
148003357,116,8,320.0000
122367012,0,1996,2547444.0000
148003426,106,27,12063.0000
111123447,47,4163,189134.0000
147981958,114,342,7010.0000
31980398,53,386,20695.0000
148002609,21,201,51091.0000
123856112,112,166,46456.0000
146286004,116,282,87972.0000
147977662,97,166,2220.0000
140152826,2,1452,170437.0000
147049328,34,709,8855.0000
134298323,4,298,56475.0000
136949503,1,2583,1548617.0000
148005380,116,14,2540.0000
144762133,113,401,12674.0000
144540733,113,23,1890.0000
80366727,0,291,210074.0000
133324927,21,1261,32303.0000
147532773,116,9,400.0000
147996004,116,197,157765.0000
129618151,29,34,1720.0000
148005985,102,16,298.0000
117703342,87,57,600.0000
148005984,116,25,2500.0000
147730164,87,111,18700.0000
134370272,6,503,129214.0000
148006279,116,8,400.0000
146790828,109,6,1546.0000
142407542,116,16,212.0000
136172639,0,1067,276985.0000
148007149,116,3,54.0000
147595465,110,97,23341.0000
122733881,1,1782,42949.0000
143494524,25,60,207390.0000
94358415,47,317,23677.0000
127118189,1,83,4160.0000
118665163,35,557,35882.0000
135858823,122,20,2002.0000
127067622,8,444,338720.0000
147777452,122,8,1040.0000
142226850,2,1610,34790.0000
44369336,69,47,4371.0000
110636000,15,2387,393193.0000
79446711,110,35,6720.0000
128770215,14,572,51007.0000
132183362,34,56,2755.0000
124741100,8,693,1538178.0000
66639280,15,156,45643.0000
147526415,89,61,7972760.0000
136919237,37,853,44348.0000
142076042,0,2257,1592108.0000
128920689,5,5863,793632.0000
147916543,12,168,15367.0000
85191139,97,823,33433.0000
137441746,1,5347,2090760.0000
117106754,9,996,1609925.0000
148064764,115,4,561.0000
119312664,38,1485,478392.0000
143732822,46,511,13575.0000
140804368,8,847,90996.0000
130652700,3,3971,882085.0000
148065292,115,1,35.0000
101303991,4,10766,180511.0000
147655554,117,18,210.0000
129293734,118,13,326.0000
124654700,1,3091,926723.0000
147714673,118,9,178.0000
139447534,39,179,7160.0000
145851880,92,1704,3358189.0000
142064847,12,815,299236.0000
146316333,118,40,5885.0000
148272274,110,8,600.0000
147052138,83,659,55276.0000
121600484,33,3636,1246768.0000
148192037,19,3515,124755.0000
140772993,0,1713,494086.0000
104353640,1,5333,2121985.0000
148272548,98,7,798.0000
148272493,53,476,243754.0000
145353793,0,457,28696.0000
99920933,4,2203,141056.0000
148269043,52,146,5161.0000
124181416,8,625,913462.0000
148270621,3,689,21586.0000
148272596,94,141,10400.0000
114371751,110,104,7080.0000
144573579,34,1139,18004.0000
145783191,2,490,285770.0000
145189757,100,236,52649.0000
148273184,110,6,540.0000
134146565,3,837,443461.0000
97932714,91,70,6315.0000
138031577,109,115,14677.0000
147745594,122,3,340.0000
147745583,122,6,589.0000
147745650,122,2,60.0000
65695701,122,25,11591.0000
147746026,122,1,100.0000
51143678,103,241,198866.0000
142900442,0,2105,53185.0000
144634190,99,3829,114965.0000
102097979,0,245,29512.0000
147778741,121,33,473.0000
135121382,121,5,191.0000
100815110,110,102,2648.0000
143819707,0,505,218519.0000
147783119,121,6,100000.0000
147783239,117,179,16253.0000
113280207,5,839,153021.0000
142132114,119,126,52935.0000
129002756,26,19,1116.0000
87528090,54,132,24540.0000
131382204,3,4915,1559837594.0000
146984373,52,119,57754.0000
146634010,55,69,9557.0000
147767460,122,4,600.0000
125771884,3,4654,2320180.0000
147767713,122,4,800.0000
146265834,7,124,25538.0000
92697764,108,52,17452.0000
127639022,106,88,2984.0000
148087367,48,177,13164.0000
136730896,5,555,67541.0000
135010914,2,11024,3123574.0000
148069857,114,31,1364.0000
109045130,15,170,20357.0000
55251788,0,922,130854.0000
118413778,3,2346,100051.0000
111065049,113,33,37339.0000
148097658,114,4,520.0000
131899915,114,19,1610.0000
143982579,21,2821,77344.0000
147908471,76,782,166452.0000
86971612,26,369,58262.0000
137785074,0,542,120804.0000
147908873,118,71,72017.0000
100143516,104,49,18198.0000
144177906,97,451,53135.0000
147909398,118,2,20000.0000
147909482,118,5,10163.0000
147909500,101,16,265.0000
146959692,0,218,14008.0000
146195374,103,4199,1274632.0000
142818070,0,1909,525638.0000
89914462,71,102,10031.0000
140962606,46,571,17038.0000
131445496,1,1363,160331.0000
78316108,-1,1040,120383.0000
147903439,119,2,500.0000
147903501,99,11,492.0000
131623599,0,202,13360.0000
122862514,112,76,6002.0000
147902918,118,18,536.0000
145928923,119,164,72350.0000
147469814,51,68,5877.0000
134863129,14,246,242351.0000
53258659,0,1308,78110.0000
58262624,0,2506,57576.0000
147924890,118,5,210.0000
147386134,53,378,157347.0000
116251636,13,1582,61902.0000
146728168,7,783,72310.0000
147860388,27,250,97552.0000
145563336,120,53,705.0000
136094739,10,1310,116871.0000
110576896,30,80,30466.0000
53763076,0,1352,384245.0000
90831677,117,34,3677.0000
104349074,19,53,1200.0000
113320705,111,56,3003.0000
26335883,18,1597,3798.0000
142125355,49,38,1498.0000
123929147,116,5,480.0000
145387193,117,30,530.0000
147431350,69,39,5601.0000
106854319,117,23,9655.0000
147952837,117,9,151.0000
123368107,0,2934,135278.0000
94597793,19,708,94427.0000
96275557,1,6323,355382.0000
147783164,52,1046,253093.0000
86287744,0,4939,694067.0000
139322446,4,396,13167.0000
123663618,110,262,3410.0000
115704291,108,844,66951.0000
147841893,77,503,52371.0000
148271548,64,1009,113604.0000
148284245,110,25,4300.0000
116642500,66,174,3431.0000
134514324,26,2085,39221.0000
147976479,117,63,1764.0000
147820778,115,1093,242840.0000
136780472,18,735,27643.0000
147475918,92,172,4406.0000
144817613,0,2803,63698.0000
147977155,117,4,100.0000
129575400,2,14623,715384.0000
99408943,10,238,10514.0000
147854740,88,97,3684.0000
122577694,4,185,60296.0000
146282536,28,32,3941.0000
147977699,117,8,600.0000
142158973,28,149,14622.0000
74884809,4,12772,549303.0000
147900936,118,12,800.0000
143624285,8,94,12767.0000
147911790,118,12,400.0000
62799223,104,10,248.0000
118317473,0,548,237654.0000
5795394,2,3718,64065.0000
146849337,83,236,20312.0000
114120375,1,471,47654.0000
69596153,62,245,145208.0000
142818888,44,136,3624.0000
