bet05,ip_count,bets,bets_per_ip
147907364,2,5,2.5
147794701,1,16,16.0
111456415,7,284,40.57142857142857
147794835,1,32,32.0
147794739,2,28,14.0
147189782,3,11,3.6666666666666665
146199957,6,108,18.0
147677938,1,2,2.0
147678192,1,5,5.0
147681982,1,8,8.0
68781075,16,42,2.625
147685771,1,7,7.0
127174066,6,19,3.1666666666666665
147687018,1,2,2.0
147686707,1,10,10.0
144808322,1,5,5.0
146976185,2,13,6.5
146201372,2,20,10.0
147694554,1,27,27.0
147537847,1,90,90.0
147695007,1,2,2.0
147813526,1,4,4.0
98144129,3,38,12.666666666666666
147813600,1,12,12.0
140284746,10,125,12.5
144768759,8,159,19.875
147813988,1,2,2.0
147680737,1,31,31.0
147817134,1,4,4.0
146493709,3,16,5.333333333333333
146412566,1,19,19.0
147817830,1,2,2.0
147799658,4,136,34.0
129185684,1,12,12.0
137517736,7,20,2.857142857142857
136826675,2,12,6.0
147794114,1,6,6.0
147794197,1,3,3.0
143933577,1,13,13.0
147794194,1,8,8.0
147540416,1,9,9.0
147085726,3,20,6.666666666666667
140825149,1,39,39.0
147796792,1,2,2.0
147756407,7,122,17.428571428571427
145361522,1,1,1.0
142052556,63,272,4.317460317460317
144517271,3,31,10.333333333333334
147797174,1,2,2.0
145187750,11,225,20.454545454545453
147800045,1,4,4.0
135292391,16,147,9.1875
145161583,1,101,101.0
109395943,5,63,12.6
147455234,1,9,9.0
147642099,1,5,5.0
147529160,1,2,2.0
147642894,1,14,14.0
134209382,1,7,7.0
147642881,1,16,16.0
147642912,1,8,8.0
147643090,1,8,8.0
147642947,1,8,8.0
147807260,1,8,8.0
147235961,1,1,1.0
147809872,2,12,6.0
147810002,1,23,23.0
147273255,5,16,3.2
138151763,4,35,8.75
130178427,1,15,15.0
147812172,1,8,8.0
147812253,2,14,7.0
147812392,1,2,2.0
140592976,1,5,5.0
146032486,1,10,10.0
147240881,4,133,33.25
147658332,1,12,12.0
147659055,6,53,8.833333333333334
147659022,4,40,10.0
147659372,1,107,107.0
147664067,1,8,8.0
147651990,12,126,10.5
147270874,1,2,2.0
147664970,1,20,20.0
144490988,4,201,50.25
147664942,1,8,8.0
147302435,3,59,19.666666666666668
147665459,1,16,16.0
142371544,6,71,11.833333333333334
147712468,1,4,4.0
141351417,19,51,2.6842105263157894
147713038,1,8,8.0
147713106,1,1,1.0
139052328,2,7,3.5
148152991,1,4,4.0
148153242,1,4,4.0
148153285,1,13,13.0
148153374,2,33,16.5
147635652,1,7,7.0
148153383,1,7,7.0
148153500,1,8,8.0
147986851,7,80,11.428571428571429
127914533,2,13,6.5
148157547,1,4,4.0
147729803,1,4,4.0
146960188,1,5,5.0
147730641,1,8,8.0
147585689,1,29,29.0
147734075,1,14,14.0
136817176,3,39,13.0
