uid,bet01_笔数,bet01_投注额,daily_笔数_跨产品汇总,daily_金额_跨产品汇总,当天涉及产品数,笔数倍差_修正后
149078838,2,661.8,14,359.0000,1,7.0
67314953,6,1067435.62,42,24848977.0000,1,7.0
122562885,1,12.3,7,261.0000,1,7.0
152847969,1,28.21,7,192.0000,1,7.0
152142899,4,1292.88,28,2553.0000,1,7.0
64114595,1,86.1,7,1800.0000,1,7.0
134169286,1,1300.84,7,601.0000,1,7.0
149697838,1,460.0,7,603.0000,1,7.0
139598679,19,2388.9,133,3041.0000,1,7.0
148862974,3,240.20000000000002,21,872.0000,1,7.0
153110024,1,100.0,7,836.0000,1,7.0
152756180,2,42.93,14,228.0000,1,7.0
131186154,2,1766.0,14,1047.0000,1,7.0
144415464,1,61.6,7,475.0000,1,7.0
151682290,1,806.97,7,129.0000,1,7.0
139758684,13,7198.75,90,1915.0000,1,6.92
125027183,11,32468.74,76,83586.0000,1,6.91
153085216,17,69655.47,117,15376.0000,1,6.88
15863665,16,829.1999999999999,110,17696.0000,1,6.88
148677815,8,923.1600000000001,55,2210.0000,1,6.88
139732219,16,505.16,110,1159.0000,1,6.88
133349322,7,47305.69,48,39263.0000,1,6.86
148121509,6,6007.9223999999995,41,12752.0000,1,6.83
152218870,25,8783.749999999998,170,7479.0000,1,6.8
145466874,5,2343.75,34,132220.0000,1,6.8
132814972,51,13017.430000000002,345,29422.0000,1,6.76
