bet_ip,n_member,n_lv3_chain,member_per_chain,n_orders,stake,game_pnl,net_pnl
103.231.94.6,27,1,27.0000000,50,2302.8726735100,-22.6660011115,-22.6660011115
103.218.237.22,27,1,27.0000000,37,1040.5243224983,-141.9788575003,-141.9788575003
116.99.255.252,80,3,26.6666667,278,18542.0424382868,-1612.8080479814,-1612.8080479814
14.239.234.49,53,2,26.5000000,166,3740.1196727248,260.6147880871,260.6147880871
27.78.223.97,26,1,26.0000000,5085,133369.5512574420,-1924.5090520951,-1924.5090520951
171.224.65.13,26,1,26.0000000,81,597.1652079619,137.6087573907,137.6087573907
14.229.217.207,26,1,26.0000000,44,321.2470705952,-73.7551676011,-73.7551676011
103.231.94.57,26,1,26.0000000,59,3356.8498796429,-36.9537517775,-36.9537517775
49.228.245.104,26,1,26.0000000,26,2657.0739484120,-40.8780607448,-40.8780607448
119.111.226.33,26,1,26.0000000,2137,23271.9473044741,-224.8110990065,-224.8110990065
103.231.94.155,26,1,26.0000000,73,4080.7139691061,-66.3631978791,-66.3631978791
131.226.103.24,26,1,26.0000000,30,167.2408602870,-12.5430645213,-12.5430645213
14.188.187.43,26,1,26.0000000,47,225.4683202745,-12.7782678639,-12.7782678639
14.228.147.196,26,1,26.0000000,45,244.7525365966,-64.7509875299,-64.7509875299
1.55.196.180,52,2,26.0000000,134,68384.7424437554,-43726.8473879534,-43726.8473879534
14.229.98.7,26,1,26.0000000,58,386.3694464456,57.2583369574,57.2583369574
27.55.101.38,78,3,26.0000000,240,1780.1373655188,178.9294164002,178.9294164002
184.22.191.121,78,3,26.0000000,237,407.9057505722,-21.8319476657,-21.8319476657
103.231.94.161,52,2,26.0000000,183,10992.0114317556,67.2167610585,67.2167610585
103.164.182.10,51,2,25.5000000,510,3238.6013896258,447.6542304115,447.6542304115
183.81.112.234,51,2,25.5000000,252,3454.6728244530,-188.6643142550,-188.6643142550
14.181.157.59,51,2,25.5000000,678,5053.1264489358,-343.5006216039,-343.5006216039
117.5.53.78,25,1,25.0000000,68,518.1628069085,163.9428910749,163.9428910749
14.190.19.142,25,1,25.0000000,78,998.3913652646,47.8698562603,47.8698562603
1.2.227.166,50,2,25.0000000,324,773.0259292409,-21.7700360950,-21.7700360950
58.10.161.82,25,1,25.0000000,34,6526.2580903587,-57.7762317372,-57.7762317372
141.164.47.98,25,1,25.0000000,472,6208.0000000000,-306.5000000000,-306.5000000000
183.182.116.170,25,1,25.0000000,1719,444478.5327046409,3880.7614814210,7482.4551855940
103.231.94.190,50,2,25.0000000,136,7710.3073983427,-87.3491523970,-87.3491523970
14.255.108.171,25,1,25.0000000,57,829.5831511815,-27.0784580968,-27.0784580968
27.130.230.246,50,2,25.0000000,93,146.9566283756,-2.4220250985,-2.4220250985
171.97.183.254,25,1,25.0000000,113,28970.3371070748,-658.2231779548,-658.2231779548
171.246.20.165,75,3,25.0000000,166,1934.9265764483,-80.6219406861,-80.6219406861
171.239.147.37,25,1,25.0000000,2126,50796.7328237244,714.8246229824,714.8246229824
21.170.232.48,99,4,24.7500000,260,6452.1110907579,-226.1209852636,-226.1209852636
103.231.94.130,49,2,24.5000000,144,7026.6139009382,-172.9381121482,-172.9381121482
42.113.136.177,49,2,24.5000000,1349,7742.9475145816,305.6805616391,305.6805616391
182.232.91.2,24,1,24.0000000,46,2063.7288967011,258.3493439072,258.3493439072
58.10.250.63,24,1,24.0000000,66,817.3511185800,-50.4148723874,-50.4148723874
171.97.156.8,24,1,24.0000000,141,40358.0998275938,-222.3583906276,-222.3583906276
171.97.185.144,24,1,24.0000000,71,17133.9550921202,-176.2146106389,-176.2146106389
117.5.60.126,24,1,24.0000000,49,347.5072935220,27.0699403609,27.0699403609
112.203.162.36,24,1,24.0000000,71,1227.4773535275,-124.2941895149,-124.2941895149
117.1.92.179,24,1,24.0000000,75,3361.7918584616,45.3236300049,45.3236300049
42.193.17.111,24,1,24.0000000,342,106033.0000000000,-1583.2500000000,-1583.2500000000
188.253.112.27,24,1,24.0000000,66,98823.5294117648,1516.3302434379,1516.3302434379
223.206.49.243,24,1,24.0000000,727,22834.0963113026,-1126.4525926585,-944.1865481157
103.231.94.79,24,1,24.0000000,51,2864.6626686500,-28.8396282927,-28.8396282927
14.207.36.156,24,1,24.0000000,41,1753.6688059517,350.3249805829,350.3249805829
103.231.94.1,24,1,24.0000000,82,4346.3181712208,-52.8119037537,-52.8119037537
14.191.8.29,48,2,24.0000000,237,9401.0539237294,1303.9835740856,1303.9835740856
116.98.249.77,94,4,23.5000000,1087,12269.2326182997,-388.8761906952,-388.8761906952
103.231.94.247,46,2,23.0000000,100,4938.5404572078,-32.3326139676,-32.3326139676
14.228.217.253,23,1,23.0000000,406,30338.8511234552,-12017.9284935919,-12017.9284935919
184.22.46.68,23,1,23.0000000,67,14257.5359731098,-625.5645415394,-625.5645415394
116.99.254.12,23,1,23.0000000,70,2612.7341601374,-52.9292719627,-52.9292719627
171.97.180.73,23,1,23.0000000,136,32937.8280943637,-336.8013830029,-336.8013830029
113.179.218.171,23,1,23.0000000,45,274.9593369993,-14.4837735265,-14.4837735265
118.68.6.116,23,1,23.0000000,153,29647.1381869135,760.7804473040,760.7804473040
